house,battery,distance,max_output_house,current_capacity_battery,total_distance
85,2,1,59.68412189,59.68412189,1
146,1,3,49.16852893,49.16852893,4
65,3,5,59.63813712,59.63813712,9
73,4,5,31.97506792,31.97506792,14
102,1,6,66.45865072,115.62717964999999,20
125,1,6,69.53106382,185.15824347,26
48,5,6,29.93133051,29.93133051,32
144,1,7,30.41692196,215.57516543,39
59,2,7,31.4973607,91.18148259,46
44,3,7,58.90934923,118.54748635,53
66,5,7,44.14228862,74.07361913,60
38,1,8,66.05341632,281.62858174999997,68
101,1,8,64.25603513,345.88461687999995,76
127,1,8,41.23924682,387.12386369999996,84
21,3,8,41.78571625,160.3332026,92
79,3,8,60.5787997,220.91200229999998,100
58,5,8,28.04976611,102.12338524,108
83,1,9,32.56142196,419.68528566,117
115,1,9,33.56390131,453.24918697,126
67,4,9,28.73871494,60.71378286,135
32,5,9,41.7880369,143.91142214,144
95,5,9,70.68631843,214.59774057,153
14,1,10,39.45690812,492.70609508999996,163
22,1,10,59.91115918,552.61725427,173
122,1,10,39.85726456,592.47451883,183
106,5,10,68.63304898,283.23078955,193
63,5,11,38.5524821,321.78327165,204
40,1,12,51.94608562,644.4206044499999,216
61,1,12,49.93687743,694.3574818799999,228
126,1,12,72.11411933,766.4716012099999,240
130,1,12,50.53984719,817.0114484,252
13,3,12,39.13247939,260.04448169,264
72,1,13,38.85647001,855.8679184099999,277
113,1,13,37.81128037,893.6791987799999,290
49,3,13,60.7690834,320.81356509,303
56,3,13,29.51140333,350.32496842,316
31,4,13,54.25835415,114.97213701000001,329
27,5,13,38.13617191,359.91944356,342
35,5,13,53.08761347,413.00705703,355
97,5,13,46.25506287,459.2621199,368
117,5,13,63.30973309,522.57185299,381
135,1,14,60.8375359,954.5167346799999,395
110,3,14,29.90737428,380.2323427,409
9,5,14,63.19785578,585.7697087700001,423
96,5,14,74.53947279,660.3091815600001,437
41,3,15,57.11814462,437.35048732,452
47,4,15,46.63929091,161.61142792,467
109,4,15,51.84271486,213.45414278,482
90,5,15,74.82543524,735.1346168000001,497
28,5,16,29.83002147,764.9646382700001,513
16,1,17,60.40913294,1014.9258676199998,530
42,1,17,29.34726889,1044.2731365099999,547
145,1,17,74.26615041,1118.5392869199998,564
80,5,17,47.17876571,812.1434039800001,581
91,5,17,34.78697213,846.9303761100001,598
33,1,18,72.88165705,1191.4209439699998,616
119,1,18,47.29043731,1238.7113812799998,634
143,1,18,42.32972013,1281.0411014099998,652
114,4,18,73.40226925,286.85641203,670
137,4,18,43.0013272,329.85773923,688
11,1,19,40.20336825,1321.2444696599998,707
12,1,19,53.03976583,1374.28423549,726
87,1,19,56.03511409,1430.3193495799999,745
81,3,19,55.93567156,493.28615888,764
23,4,19,71.42208448,401.27982370999996,783
92,5,19,46.65642768,893.5868037900001,802
45,1,20,45.14508246,1475.4644320399998,822
5,5,20,62.43058175,956.0173855400001,842
10,5,20,65.00367928,1021.0210648200001,862
20,1,21,29.92408755,1505.3885195899998,883
24,3,21,37.23961036,530.52576924,904
3,4,21,39.82123377,441.10105747999995,925
19,4,21,38.72179636,479.82285383999994,946
51,4,21,60.96696147,540.78981531,967
131,4,21,63.13649746,603.92631277,988
62,5,21,65.6434655,1086.66453032,1009
93,5,21,60.03957103,1146.70410135,1030
147,5,21,71.35472201,1218.05882336,1051
121,3,22,67.12368936,597.6494586,1073
70,4,22,66.07952654,670.0058393099999,1095
86,4,22,30.57764452,700.58348383,1117
118,4,22,26.81272998,727.39621381,1139
138,3,23,70.34144168,667.99090028,1162
4,5,23,46.4333204,1264.4921437599999,1185
18,5,23,57.77286486,1322.26500862,1208
25,5,23,70.21473166,1392.47974028,1231
37,5,23,38.71047582,1431.1902161,1254
120,5,23,54.40644245,1485.59665855,1277
103,2,24,38.3766668,129.55814939,1301
7,3,24,52.43116675,720.42206703,1325
94,4,24,29.26065385,756.65686766,1349
124,4,24,41.46231813,798.11918579,1373
148,2,25,66.78438663,196.34253602,1398
75,4,25,40.72933179,838.8485175799999,1423
128,3,26,33.61818802,754.04025505,1449
2,4,26,66.13020717,904.9787247499999,1475
139,4,26,52.07076394,957.0494886899999,1501
77,2,27,57.15314373,253.49567975000002,1528
98,4,27,33.30314048,990.3526291699999,1555
107,4,27,62.33504063,1052.6876697999999,1582
132,4,27,38.24420236,1090.9318721599998,1609
149,4,27,56.65609954,1147.5879716999998,1636
6,2,28,62.14055349,315.63623324,1664
53,3,28,70.02856894,824.06882399,1692
68,4,28,35.97663002,1183.5646017199997,1720
99,4,29,70.41480105,1253.9794027699998,1749
34,4,30,62.0133643,1315.9927670699997,1779
100,4,30,39.37298309,1355.3657501599996,1809
104,4,31,26.65336877,1382.0191189299996,1840
136,4,31,29.1671214,1411.1862403299997,1871
29,3,32,74.15296092,898.22178491,1903
46,3,32,44.75870431,942.98048922,1935
88,4,32,38.69411298,1449.8803533099997,1967
55,3,34,31.03872389,974.01921311,2001
39,4,34,45.33453242,1495.2148857299997,2035
57,2,35,63.87594515,379.51217839000003,2070
133,2,36,76.1538049,455.66598329000004,2106
26,2,37,61.05026554,516.71624883,2143
8,3,37,30.48448777,1004.50370088,2180
69,2,38,57.19809379,573.9143426200001,2218
52,3,38,45.9393011,1050.44300198,2256
50,2,39,55.74063546,629.6549780800001,2295
30,2,40,68.6532457,698.30822378,2335
36,2,40,52.08494864,750.39317242,2375
54,2,40,26.27681146,776.66998388,2415
84,2,40,55.75694271,832.42692659,2455
134,3,40,43.28587772,1093.7288796999999,2495
116,2,41,33.96614241,866.393069,2536
141,3,41,29.86780761,1123.5966873099999,2577
71,2,42,75.8473443,942.2404133,2619
74,2,42,38.37311881,980.61353211,2661
140,2,42,63.12900053,1043.74253264,2703
1,2,43,53.97543253,1097.71796517,2746
111,3,43,58.40033018,1181.99701749,2789
43,2,44,37.28002017,1134.99798534,2833
76,2,44,53.27408283,1188.27206817,2877
105,2,44,32.63123071,1220.90329888,2921
123,2,44,29.43663895,1250.33993783,2965
129,2,44,44.9319234,1295.27186123,3009
142,2,44,66.97873982,1362.2506010500001,3053
78,2,45,56.14106998,1418.39167103,3098
82,2,45,67.70113184,1486.09280287,3143
17,3,45,27.78076375,1209.77778124,3188
89,3,54,64.25056806,1274.0283493,3242
15,3,55,53.84443114,1327.87278044,3297
64,3,55,48.15325636,1376.0260368,3352
108,3,55,41.71675352,1417.74279032,3407
60,3,56,45.25994244,1463.00273276,3463
150,3,56,26.19979919,1489.20253195,3519
total distance: 3519,costs grid:31671,costs batteries:25000,total costs:56671,
